frameNo,frameName,chapterNo,chapterName
3,Kultur,3339,"Inntekter fra spill, lotterier og stiftelser"
4,Utenriks,100,Utenriksdepartementet
4,Utenriks,103,Regjeringens fellesbevilgning for representasjon
4,Utenriks,104,Kongefamiliens offisielle reiser til utlandet
4,Utenriks,115,"Kultur-, norgesfremme- og informasjonsformål"
4,Utenriks,116,Deltaking i internasjonale organisasjoner
4,Utenriks,117,EØS-finansieringsordningene
4,Utenriks,118,Nordområdetiltak m.v.
4,Utenriks,119,Globale sikkerhetstiltak
4,Utenriks,140,Utenriksdepartementets administrasjon av utviklingshjelpen
4,Utenriks,141,Direktoratet for utviklingssamarbeid (Norad)
4,Utenriks,144,Fredskorpset
4,Utenriks,150,Bistand til Afrika
4,Utenriks,151,Bistand til Asia
4,Utenriks,152,Bistand til Midtøsten og Nord-Afrika
4,Utenriks,153,Bistand til Latin-Amerika
4,Utenriks,160,Sivilt samfunn og demokratiutvikling
4,Utenriks,161,Næringsutvikling
4,Utenriks,162,Overgangsbistand (gap)
4,Utenriks,163,"Nødhjelp, humanitær bistand og menneskerettigheter"
4,Utenriks,164,"Fred, forsoning og demokrati"
4,Utenriks,165,"Forskning, kompetanseheving og evaluering"
4,Utenriks,166,Miljø og bærekraftig utvikling mv.
4,Utenriks,167,"Flyktningtiltak i Norge, godkjent som utviklingshjelp (ODA)"
4,Utenriks,168,Kvinner og likestilling
4,Utenriks,169,Globale helse- og vaksineinitiativ
4,Utenriks,170,FN-organisasjoner mv.
4,Utenriks,171,Multilaterale finansinstitusjoner
4,Utenriks,172,Gjeldslette og gjeldsrelaterte tiltak
4,Utenriks,480,Svalbardbudsjettet
4,Utenriks,3100,Utenriksdepartementet
5,Justis,61,Høyesterett
5,Justis,400,Justis- og beredskapsdepartementet
5,Justis,410,Tingrettene og lagmannsrettene
5,Justis,411,Domstoladministrasjonen
5,Justis,413,Jordskiftedomstolene
5,Justis,414,Forliksråd og andre domsutgifter
5,Justis,430,Kriminalomsorgsdirektoratet
5,Justis,432,Kriminalomsorgens utdanningssenter (KRUS)
5,Justis,440,Politidirektoratet – politi- og lensmannsetaten
5,Justis,442,Politihøgskolen
5,Justis,444,Politiets sikkerhetstjeneste (PST)
5,Justis,445,Den høyere påtalemyndighet
5,Justis,446,Den militære påtalemyndighet
5,Justis,448,Grensekommissæren
5,Justis,451,Direktoratet for samfunnssikkerhet og beredskap
5,Justis,452,Sentral krisehåndtering
5,Justis,454,Redningshelikoptertjenesten
5,Justis,455,Redningstjenesten
5,Justis,460,Spesialenheten for politisaker
5,Justis,466,Særskilte straffesaksutgifter m.m.
5,Justis,467,Norsk Lovtidend
5,Justis,468,Kommisjonen for gjenopptakelse av straffesaker
5,Justis,469,Vergemålsordningen
5,Justis,470,Fri rettshjelp
5,Justis,471,Statens erstatningsansvar og Stortingets rettferdsvederlagsordning
5,Justis,472,Voldsoffererstatning og rådgiving for kriminalitetsofre
5,Justis,473,Statens sivilrettsforvaltning
5,Justis,474,Konfliktråd
5,Justis,475,Bobehandling
5,Justis,3400,Justis- og beredskapsdepartementet
5,Justis,3410,Rettsgebyr
5,Justis,3413,Jordskiftedomstolene
5,Justis,3430,Kriminalomsorgsdirektoratet
5,Justis,3432,Kriminalomsorgens utdanningssenter (KRUS)
5,Justis,3440,Politidirektoratet – politi- og lensmannsetaten
5,Justis,3442,Politihøgskolen
5,Justis,3444,Politiets sikkerhetstjeneste (PST)
5,Justis,3451,Direktoratet for samfunnssikkerhet og beredskap
5,Justis,3454,Redningshelikoptertjenesten
5,Justis,3469,Vergemålsordningen
5,Justis,3470,Fri rettshjelp
5,Justis,3473,Statens sivilrettsforvaltning
5,Justis,3474,Konfliktråd
6,"Innvandring, regional utvikling og bolig",490,Utlendingsdirektoratet
6,"Innvandring, regional utvikling og bolig",491,Utlendingsnemnda
6,"Innvandring, regional utvikling og bolig",500,Kommunal- og regionaldepartementet
6,"Innvandring, regional utvikling og bolig",551,Regional utvikling og nyskaping
6,"Innvandring, regional utvikling og bolig",552,Nasjonalt samarbeid for regional utvikling
6,"Innvandring, regional utvikling og bolig",554,Kompetansesenter for distriktsutvikling
6,"Innvandring, regional utvikling og bolig",579,Valgutgifter
6,"Innvandring, regional utvikling og bolig",580,Bostøtte
6,"Innvandring, regional utvikling og bolig",581,Bolig- og bomiljøtiltak
6,"Innvandring, regional utvikling og bolig",582,Rentekompensasjon for skole- og svømmeanlegg og kirkebygg
6,"Innvandring, regional utvikling og bolig",585,Husleietvistutvalget
6,"Innvandring, regional utvikling og bolig",586,Tilskudd til omsorgsboliger og sykehjemsplasser
6,"Innvandring, regional utvikling og bolig",587,Direktoratet for byggkvalitet
6,"Innvandring, regional utvikling og bolig",820,Integrerings- og mangfoldsdirektoratet
