chapterNo,postNo,text,amount
1137,53,"Omstillingsmidler instituttsektoren mv. ",4379000
1410,53,"Internasjonalt samarbeid om miljøvernforskning ",6794000
285,54,"Forskningsinfrastruktur av nasjonal, strategisk interesse ",299363000
1410,54,"Artsprosjektet m.m. ",30000000
1533,54,"Samefolkets fond ",5000000
285,55,"Administrasjon ",278936000
320,55,"Norsk kulturfond-ettårig prosjekttilskudd, kan nyttes under post 56",52998000
322,55,"Norsk kulturfond ",41037000
323,55,"Norsk kulturfond-ettårig prosjekttilskudd, kan nyttes under post 56",171367000
324,55,"Norsk kulturfond- ettårig prosjekttilskudd, kan nyttes under post 56",112292000
326,55,"Norsk kulturfond ",170067000
328,55,"Norsk kulturfond ",10582000
287,56,"Ludvig Holbergs minnepris ",9729000
320,56,"Norsk kulturfond-flerårig prosjekttilskudd, kan nyttes under post 55",23895000
323,56,"Norsk kulturfond-flerårig prosjekttilskudd, kan nyttes under post 55",32529000
324,56,"Norsk kulturfond- flerårig prosjekttilskudd, kan nyttes under post 55",16742000
287,57,"Basisbevilgning til samfunnsvitenskapelige forskningsinstitutter ",191478000
225,60,"Tilskudd til landslinjer ",191091000
226,60,"Tilskudd til kommuner og fylkeskommuner ",38432000
227,60,"Tilskudd til Moskvaskolen og Murmansk- skolen ",2111000
258,60,"Tilskudd til karriereveiledning ",30000000
287,60,"Regionale forskningsfond, tilskudd til forskning ",219000000
310,60,"Tilskudd til livssynsnøytrale sermonirom ",10330000
320,60,"Kulturkort for ungdom ",3900000
430,60,"Refusjoner til kommunene, forvaringsdømte mv., kan overføres",92300000
440,60,"Tilskudd til kommuner til SLT-tiltak ",5330000
490,60,"Tilskudd til vertskommuner for statlige mottak for asylsøkere og flyktninger ",303171000
551,60,"Tilskudd til fylkeskommuner for regional utvikling ",1596306000
571,60,"Innbyggertilskudd ",116469972000
572,60,"Innbyggertilskudd ",28337599000
575,60,"Toppfinansieringsordning, overslagsbevilgning",6649205000
582,60,"Rentekompensasjon - skole- og svømmeanlegg, kan overføres",487300000
634,60,"Tilskudd til arbeids- og utdanningsreiser i Oslo kommune ",23800000
719,60,"Kommunetilskudd, kan overføres",6672000
761,60,"Kommunale kompetansetiltak, kan overføres",212888000
762,60,"Forebyggende helsetjenester ",62113000
764,60,"Psykisk helsearbeid, kan overføres",268643000
821,60,"Integreringstilskudd, kan overføres",6005522000
822,60,"Tilskudd til opplæring i norsk og samfunnskunnskap for voksne innvandrere ",1585411000
846,60,"Tilskudd til likestillingsarbeid i kommunal sektor ",1963000
854,60,"Kommunalt barnevern ",573356000
855,60,"Tilskudd til kommunene, kan nyttes under post 1",192207000
857,60,"Barne- og ungdomstiltak i større bysamfunn, kan overføres",22456000
1050,60,"Tilskudd til kommuner ",180000000
1062,60,"Tilskudd til fiskerihavneanlegg, kan overføres",61980000
1143,60,"Tilskudd til veterinærdekning ",134449000
1330,60,"Særskilt tilskudd til kollektivtransport, kan overføres",78300000
1429,60,"Kulturminnearbeid i kommunene ",2000000
1540,60,"Tiltak for rom, kan overføres",5050000
1820,60,"Tilskudd til flom- og skredforebygging, kan overføres, kan nyttes under postene 22 og 72",19000000
227,61,"Tilskudd til voksenopplæring i Andebu kommune ",4797000
551,61,"Næringsrettede midler til regional utvikling, kompensasjon for økt arbeidsgiveravgift, kan overføres",485287000
571,61,"Distriktstilskudd Sør-Norge ",378317000
581,61,"Husleietilskudd ",2300000
582,61,"Rentekompensasjon - kirkebygg, kan overføres",50800000
761,61,"Vertskommuner ",947723000
762,61,"Fengselshelsetjeneste ",135176000
763,61,"Kommunalt rusarbeid, kan overføres",104068000
783,61,"Turnustjeneste ",133400000
821,61,"Særskilt tilskudd ved bosetting av enslige, mindreårige flyktninger, overslagsbevilgning",328574000
840,61,"Tilskudd til incest- og voldtektsentre, overslagsbevilgning",77500000
854,61,"Utvikling i kommunene ",29219000
857,61,"Nasjonal tilskuddsordning mot barnefattigdom ",96000000
1320,61,"Rentekompensasjon for transporttiltak i fylkene ",176700000
1330,61,"Belønningsordningen for bedre kollektivtransport mv. i byområdene, kan overføres",945300000
1400,61,"Framtidens byer og bærekraftig byutvikling, kan overføres",37000000
1632,61,"Tilskudd til kommuner og fylkeskommuner, overslagsbevilgning",19800000000
225,62,"Tilskudd til de kommunale sameskolene i Snåsa og Målselv ",22290000
226,62,"Tilskudd for økt lærertetthet ",372168000
227,62,"Tilskudd til Fjellheimen leirskole ",5716000
552,62,"Nasjonale tiltak for lokal samfunnsutvikling, kan overføres",40000000
571,62,"Nord-Norge- og Namdalstilskudd ",1503297000
572,62,"Nord-Norge-tilskudd ",599430000
761,62,"Dagaktivitetstilbud, kan overføres",81400000
762,62,"Øyeblikkelig hjelp, kan overføres, kan nyttes under kap. 732 postene 70 og 76",419108000
821,62,"Kommunale innvandrertiltak ",209796000
1320,62,"Skredsikring fylkesveger, kan overføres",564000000
1400,62,"Den naturlige skolesekken ",3500000
2755,62,"Fastlønnsordning fysioterapeuter, kan nyttes under post 71",304000000
225,63,"Tilskudd til samisk i grunnopplæringen, kan overføres",57533000
231,63,"Tilskudd til tiltak for å bedre språkforståelsen blant minoritetsspråklige barn i førskolealder ",130173000
571,63,"Småkommunetilskudd ",946140000
586,63,"Tilskudd til kompensasjon for utgifter til renter og avdrag ",1027600000
621,63,"Sosiale tjenester og tiltak for vanskeligstilte, kan overføres",191720000
718,63,"Rusmiddeltiltak, kan overføres",16484000
762,63,"Allmennlegetjenester ",128208000
225,64,"Tilskudd til opplæring av unge asylsøkere og barn av asylsøkere ",143848000
571,64,"Skjønnstilskudd, kan nyttes under kap. 572 post 64",2141000000
572,64,"Skjønnstilskudd, kan nyttes under kap. 571 post 64",512000000
586,64,"Investeringstilskudd, kan overføres",977300000
854,65,"Refusjon av kommunale utgifter til barneverntiltak knyttet til enslige mindreårige asylsøkere og flyktninger, overslagsbevilgning",1122100000
1400,65,"Områdesatsing i byer, kan overføres",47000000
225,66,"Tilskudd til leirskoleopplæring ",45433000
571,66,"Veksttilskudd ",61198000
761,66,"Brukerstyrt personlig assistanse ",90004000
225,67,"Tilskudd til opplæring i finsk ",8136000
571,67,"Storbytilskudd ",420280000
761,67,"Utviklingstiltak ",75753000
225,68,"Tilskudd til opplæring i kriminalomsorgen ",246870000
225,69,"Kompensasjon for investeringskostnader ved grunnskolereformen ",227538000
1420,69,"Oppryddingstiltak, kan overføres, kan nyttes under postene 39 og 79",39845000
41,70,"Tilskudd til partigruppene ",165000000
100,70,"Erstatning av skader på utenlandske ambassader ",939000
115,70,"Tilskudd til kultur-, norgesfremme- og informasjonsformål, kan overføres, kan nyttes under post 1",71758000
116,70,"Tilskudd til internasjonale organisasjoner ",1195697000
118,70,"Nordområdetiltak og prosjektsamarbeid med Russland, kan overføres, kan nyttes under post 1",341905000
119,70,"Globale sikkerhetstiltak, kan overføres, kan nyttes under post 1",5000000
160,70,"Sivilt samfunn, kan overføres",1467000000
161,70,"Næringsutvikling, kan overføres",204000000
162,70,"Overgangsbistand (gap), kan overføres",286000000
163,70,"Naturkatastrofer, kan overføres",517500000
164,70,"Fred, forsoning og demokratitiltak, kan overføres",655900000
165,70,"Forskning og høyere utdanning, kan overføres",333000000
166,70,"Ymse tilskudd, kan overføres",5000000
168,70,"Kvinner og likestilling, kan overføres",313500000
169,70,"Vaksine og helse, kan overføres",1885000000
170,70,"FNs utviklingsprogram (UNDP) ",760000000
171,70,"Verdensbanken, kan overføres",871000000
172,70,"Gjeldsslette, betalingsbalansestøtte og kapasitetsbygging, kan overføres",250000000
220,70,"Tilskudd til læremidler mv., kan overføres, kan nyttes under post 21",53706000
225,70,"Tilskudd til opplæring av lærlinger og lærekandidater med spesielle behov ",38798000
226,70,"Tilskudd til NAROM ",7668000
227,70,"Tilskudd til Den franske skolen i Oslo ",7121000
228,70,"Private grunnskoler, overslagsbevilgning",1606363000
252,70,"Tilskudd ",290360000
253,70,"Tilskudd til folkehøyskoler ",737519000
254,70,"Tilskudd til studieforbund ",195671000
255,70,"Senter for studier av Holocaust og livssynsminoriteter ",30170000
257,70,"Tilskudd, kan overføres",89593000
260,70,"Private høyskoler ",1139866000
281,70,"Andre overføringer, kan nyttes under post 1",47236000
310,70,"Tilskudd til tros- og livssynssamfunn, overslagsbevilgning",252443000
315,70,"Merverdiavgiftskompensasjon til frivillige organisasjoner ",1200000000
323,70,"Nasjonale institusjoner ",265154000
324,70,"Nasjonale institusjoner ",1031912000
328,70,"Det nasjonale museumsnettverket ",1035469000
337,70,"Kompensasjon ",45357000
430,70,"Tilskudd ",17964000
440,70,"Tilskudd ",40573000
451,70,"Overføringer til private ",12856000
470,70,"Fri sakførsel ",596556000
472,70,"Erstatning til voldsofre, overslagsbevilgning",435514000
490,70,"Økonomiske ytelser til beboere i asylmottak ",513870000
580,70,"Bostøtte, overslagsbevilgning",3000000000
581,70,"Boligetablering i distriktene ",21300000
587,70,"Tilskudd til Lavenergiprogrammet ",6200000
601,70,"Tilskudd ",22860000
605,70,"Tilskudd til helse- og rehabiliteringstjenester for sykemeldte, kan overføres",208800000
612,70,"For andre medlemmer av Statens pensjonskasse, overslagsbevilgning",96000000
613,70,"For andre medlemmer av Statens pensjonskasse, overslagsbevilgning",11000000
614,70,"Tap/avskrivninger ",2000000
621,70,"Frivillig arbeid, kan overføres",58160000
648,70,"Tilskudd til faglig utvikling ",4130000
660,70,"Tilskudd, militære, overslagsbevilgning",121000000
664,70,"Tilskudd ",80000000
666,70,"Tilskudd, overslagsbevilgning",1660000000
667,70,"Tilskudd, overslagsbevilgning",425000000
701,70,"Norsk Helsenett SF ",97517000
702,70,"Tilskudd, kan overføres, kan nyttes under post 21",3539000
703,70,"Tilskudd, kan overføres",15298000
711,70,"Tilskudd, kan overføres, kan nyttes under post 21",1112000
718,70,"Andre tilskudd, kan overføres",113605000
719,70,"Smittevern mv., kan overføres",19093000
720,70,"Helsetjenester i annet EØS-land ",24840000
722,70,"Advokatutgifter ",34056000
732,70,"Særskilte tilskudd, kan overføres, kan nyttes under postene 72, 73, 74 og 75",630705000
733,70,"Behandlingsreiser til utlandet ",115854000
734,70,"Tvunget psykisk helsevern for pasienter som ikke har bosted i riket ",2411000
751,70,"Tilskudd ",62908000
762,70,"Tilskudd, kan nyttes under post 21",46720000
769,70,"Tilskudd, kan nyttes under post 21",734000
770,70,"Tilskudd, kan overføres, kan nyttes under post 21",174841000
782,70,"Tilskudd ",36005000
821,70,"Bosettingsordningen og integreringstilskudd, oppfølging ",1925000
840,70,"Tilskudd til voldsforebyggende tiltak mv., kan nyttes under kap. 858 post 1",36285000
842,70,"Tilskudd til kirkens familieverntjeneste mv., kan nyttes under post 1",143248000
844,70,"Tilskudd, overslagsbevilgning",1165000000
845,70,"Tilskudd, overslagsbevilgning",15140000000
846,70,"Tilskudd ",24319000
847,70,"Tilskudd til funksjonshemmedes organisasjoner ",171894000
852,70,"Tilskudd til foreldre som adopterer barn fra utlandet, overslagsbevilgning",12694000
857,70,"Barne- og ungdomsorganisasjoner ",114259000
862,70,"Driftstilskudd til offentlig stiftelse for positiv miljømerking ",6917000
865,70,"Tilskudd ",2570000
900,70,"Tilskudd til internasjonale organisasjoner ",20500000
913,70,"Tilskudd ",29000000
922,70,"Kontingent i European Space Agency (ESA) ",147500000
924,70,"Tilskudd ",89900000
930,70,"Tilskudd ",75200000
953,70,"Tilskudd ",27500000
1001,70,"Tilskudd, kan overføres",10950000
1020,70,"Erstatningsutbetaling ",6000000
1023,70,"Tilskudd til sjømat- og rekrutteringstiltak, kan overføres",10350000
1062,70,"Tilskudd Redningsselskapet ",78170000
1138,70,"Støtte til organisasjoner, kan overføres",25603000
1139,70,"Tilskudd til miljø- og ressurstiltak, kan overføres",17898000
1143,70,"Tilskudd til beredskap i kornsektoren, kan overføres",5386000
1147,70,"Tilskudd til fjellstuer ",750000
1150,70,"Markedsregulering, kan overføres",290800000
1161,70,"Tilskudd til Statskog SFs myndighetsoppgaver og sektorpolitiske oppgaver ",13549000
1300,70,"Tilskudd til internasjonale organisasjoner ",32800000
1310,70,"Kjøp av innenlandske flyruter, kan overføres, kan nyttes under kap. 1311 post 71",681000000
1330,70,"Kjøp av sjøtransporttjenester på strekningen Bergen-Kirkenes ",763000000
1351,70,"Kjøp av persontransport med tog, kan overføres",3047000000
1370,70,"Kjøp av post- og banktjenester ",320000000
1380,70,"Tilskudd til telesikkerhet og -beredskap, kan overføres",58900000
1400,70,"Frivillige miljøorganisasjoner og allmennyttige miljøstiftelser ",58005000
1410,70,"Nasjonale oppgaver ved miljøforskningsinstituttene ",34288000
1420,70,"Tilskudd til vannmiljøtiltak, kan overføres",20800000
1425,70,"Tilskudd til fiskeformål, kan overføres",11500000
1429,70,"Tilskudd til automatisk fredete og andre arkeologiske kulturminner, kan overføres",30005000
1474,70,"Tilskudd til private mottakere, kan overføres, kan nyttes under postene 01 og 50",28000000
1503,70,"Tilskudd ",159021000
1530,70,"Tilskudd til de politiske partiers sentrale organisasjoner ",282809000
1540,70,"Tilskudd til nasjonale minoriteter ",9213000
1562,70,"Tilskudd til internasjonale program, kan over- føres",19355000
1592,70,"Tilskudd til sentrale tiltak for kirkebygg og gravplasser ",10665000
1600,70,"Forskning på og allmennopplysning om finansmarkedet ",12600000
1618,70,"Tilskudd ",3000000
1645,70,"Tilskudd til drift ",3000000
1725,70,"Renter låneordning, kan overføres",5793000
1800,70,"Tilskudd til internasjonale organisasjoner mv., kan overføres",1400000
1815,70,"Administrasjon ",307000000
1830,70,"Internasjonale samarbeids- og utviklingstiltak, kan overføres",19400000
1840,70,"Gassnova SF, kan overføres, kan nyttes under post 73",164300000
2410,70,"Utdanningsstipend, overslagsbevilgning",3140390000
2421,70,"Bedriftsutvikling og administrasjon ",351650000
2426,70,"Tilskudd ",49800000
2429,70,"Tilskudd ",105000000
2530,70,"Foreldrepenger ved fødsel, overslagsbevilgning",17610000000
2540,70,"Tilskudd, overslagsbevilgning",100000000
2541,70,"Dagpenger, overslagsbevilgning",10800000000
2542,70,"Statsgaranti for lønnskrav ved konkurs mv., overslagsbevilgning",690000000
2620,70,"Overgangsstønad, overslagsbevilgning",2380000000
2650,70,"Sykepenger for arbeidstakere mv., overslagsbevilgning",34010000000
2651,70,"Arbeidsavklaringspenger, overslagsbevilgning",33380000000
2655,70,"Grunnpensjon, overslagsbevilgning",24215000000
2661,70,"Grunnstønad, overslagsbevilgning",1790000000
2670,70,"Grunnpensjon, overslagsbevilgning",59140000000
2680,70,"Grunnpensjon, overslagsbevilgning",1240000000
2686,70,"Gravferdsstønad, overslagsbevilgning",194000000
2711,70,"Spesialisthjelp ",1690000000
2751,70,"Legemidler ",8841000000
2752,70,"Egenandelstak 1 ",3990200000
2755,70,"Allmennlegehjelp ",4222400000
2756,70,"Helsetjenester i annet EØS-land ",10000000
2790,70,"Bidrag ",235000000
100,71,"Diverse tilskudd ",25109000
118,71,"Støtte til utvikling av samfunn, demokrati og menneskerettigheter mv., kan overføres",58750000
160,71,"Tilskudd til opplysningsarbeid, kan overføres",101000000
163,71,"Humanitær bistand, kan overføres",2394600000
164,71,"ODA-godkjente land på Balkan, kan overføres",375000000
165,71,"Faglig samarbeid, kan overføres",415900000
166,71,"Internasjonale prosesser og konvensjoner mv., kan overføres",33000000
169,71,"Andre helse- og aidstiltak, kan overføres",380000000
170,71,"FNs befolkningsfond (UNFPA) ",431000000
171,71,"Regionale banker og fond, kan overføres",854000000
225,71,"Tilskudd til utvikling av musikk- og kultur- skolene ",17876000
226,71,"Tilskudd til vitensentre ",41090000
227,71,"Tilskudd til internatdriften ved Krokeide videregående skole ",24615000
228,71,"Private videregående skoler, overslagsbevilgning",1410920000
253,71,"Tilskudd til Folkehøgskolerådet ",4533000
254,71,"Tilskudd til nettskoler ",15700000
255,71,"Falstadsenteret ",17064000
270,71,"Tilrettelegging for internasjonal mobilitet ",16174000
280,71,"Tilskudd til UNIS ",117935000
287,71,"Tilskudd til andre private institusjoner ",39268000
314,71,"Kultur og næringsprosjekter ",6906000
315,71,"Tilskudd til frivilligsentraler ",118474000
323,71,"Region-/landsdelsinstitusjoner ",227668000
324,71,"Region-/landsdelsinstitusjoner ",467949000
334,71,"Filmtiltak m.m., kan overføres, kan nyttes under post 50",39277000
335,71,"Produksjonstilskudd ",331759000
400,71,"Tilskudd til internasjonale organisasjoner ",9672000
440,71,"Tilskudd Norsk rettsmuseum ",4553000
455,71,"Tilskudd til frivillige organisasjoner i redningstjenesten ",25396000
470,71,"Fritt rettsråd ",162994000
471,71,"Erstatningsansvar m.m., overslagsbevilgning",121715000
490,71,"Tilskudd til aktivitetstilbud for barn i mottak og informasjon til au pairer ",18073000
660,71,"Tilskudd, sivile, overslagsbevilgning",300000000
722,71,"Særskilte tilskudd ",105483000
732,71,"Kvalitetsbasert finansiering, kan overføres",497000000
734,71,"Tvungen omsorg for psykisk utviklingshemmede ",74394000
761,71,"Frivillig arbeid mv. ",24839000
762,71,"Frivillig arbeid mv. ",6373000
763,71,"Frivillig arbeid mv., kan overføres, kan nyttes under post 21",176013000
821,71,"Tilskudd til innvandrerorganisasjoner og annen frivillig virksomhet ",51582000
847,71,"Tiltak for økt tilgjengelighet og universell utforming, kan overføres, kan nyttes under post 21",18937000
854,71,"Utvikling og opplysningsarbeid mv., kan nyttes under post 21",30149000
857,71,"Utviklingsarbeid, kan nyttes under post 21",3942000
922,71,"Internasjonal romvirksomhet ",309700000
937,71,"Tilskudd ",2100000
960,71,"Refusjon for miljøtiltak ",8300000
1000,71,"Tilskudd til kystkultur, kan overføres",10130000
1023,71,"Tilskudd til utviklingstiltak, kan overføres",5900000
1050,71,"Sosiale tiltak, kan overføres",2070000
1115,71,"Tilskudd til erstatninger, overslagsbevilgning",4200000
1138,71,"Internasjonalt skogpolitisk samarbeid - organisasjoner og prosesser, kan overføres",4037000
1139,71,"Tilskudd til genressursforvaltning, kan overføres",22027000
1147,71,"Omstillingstiltak i Indre Finnmark, kan over-føres",9520000
1148,71,"Naturskade, erstatninger, overslagsbevilgning",185700000
1149,71,"Tilskudd til verdiskapingstiltak i skogbruket, kan overføres",23866000
1150,71,"Tilskudd til erstatninger m.m., overslagsbevilgning",72000000
1300,71,"Tilskudd til trafikksikkerhetsformål mv. ",38200000
1311,71,"Tilskudd til ikke-statlige flyplasser, kan over-føres, kan nyttes under kap.1310 post 70",35000000
1380,71,"Tilskudd til bredbåndsutbygging ",50000000
1400,71,"Internasjonale organisasjoner ",52760000
1425,71,"Tilskudd til viltformål, kan overføres",27600000
1429,71,"Tilskudd til fredete kulturminner i privat eie, kulturmiljø og kulturlandskap, kan overføres",120402000
1530,71,"Tilskudd til de politiske partiers kommunale organisasjoner ",33125000
1540,71,"Romanifolket/taternes kulturfond ",5000000
1561,71,"Tilskudd til fri programvare ",4500000
1590,71,"Tilskudd til kirkelige formål ",82035000
1719,71,"Overføringer til andre, kan overføres",71865000
1800,71,"Tilskudd til Norsk Oljemuseum ",12000000
1815,71,"Unitisering, kan overføres",24000000
1830,71,"Tilskudd til forsvaltningsrettet forskning og utvikling, kan overføres, kan nyttes under post 22",4000000
1840,71,"Forskningstjenester, TCM DA, kan overføres",1877000000
2410,71,"Andre stipend, overslagsbevilgning",745268000
2412,71,"Tap på utlånsvirksomhet ",21000000
2421,71,"Reiseliv, nettverks- og kompetanseprogrammer, kan overføres",430000000
2429,71,"Viderefakturerte utgifter ",200000
2530,71,"Engangsstønad ved fødsel og adopsjon, overslagsbevilgning",360000000
2650,71,"Sykepenger for selvstendige, overslagsbevilgning",1730000000
2651,71,"Tilleggsstønad, overslagsbevilgning",385000000
2655,71,"Tilleggspensjon, overslagsbevilgning",37470000000
2661,71,"Hjelpestønad, overslagsbevilgning",1690000000
2670,71,"Tilleggspensjon, overslagsbevilgning",111080000000
2680,71,"Tilleggspensjon, overslagsbevilgning",985000000
2711,71,"Psykologhjelp ",239000000
2751,71,"Legeerklæringer ",6000000
2752,71,"Egenandelstak 2 ",166000000
2755,71,"Fysioterapi, kan nyttes under post 62",1796000000
2756,71,"Helsetjenester i utlandet mv. ",330000000
41,72,"Tilskudd til Det Norske Nobelinstitutts bibliotek ",1500000
100,72,"Hjelp til norske borgere i utlandet ",159000
151,72,"Bistand til Afghanistan og Pakistan, kan overføres",599500000
160,72,"Demokratistøtte/partier, kan overføres",8000000
163,72,"Menneskerettigheter, kan overføres",348300000
164,72,"Utvikling og nedrustning, kan overføres",188000000
166,72,"Internasjonale miljøprosesser og bærekraftig utvikling, kan overføres",208500000
169,72,"Det globale fond for bekjempelse av aids, tuberkulose og malaria (GFATM), kan overføres",500000000
170,72,"FNs barnefond (UNICEF) ",1020000000
171,72,"Samfinansiering via finansinstitusjoner, kan overføres",559500000
225,72,"Tilskudd til internasjonale utdanningsprogram og organisasjoner ",5604000
226,72,"Tilskudd til utviklingsprosjekter i grunnopplæringen ",2070000
227,72,"Tilskudd til Røde Kors Nordisk United World College ",31045000
228,72,"Private skoler godkjent etter kap. 4 i voksenopplæringsloven, overslagsbevilgning",148666000
253,72,"Tilskudd til nordiske folkehøyskoler ",1291000
254,72,"Tilskudd til studiesentre ",6342000
255,72,"Stiftelsen Arkivet ",6831000
276,72,"Annen fagskoleutdanning ",73729000
280,72,"Tilskudd til UNINETT ",25626000
283,72,"Internasjonale samarbeidsprosjekter ",55991000
288,72,"Internasjonale grunnforskningsorganisasjoner ",206002000
314,72,"Kultursamarbeid i nordområdene ",3553000
315,72,"Tilskudd til frivillig virksomhet for barn og unge ",53751000
321,72,"Stipend basert på gjennomført kunstutdanning, overslagsbevilgning",1000000
322,72,"Knutepunktinstitusjoner ",6839000
323,72,"Knutepunktinstitusjoner ",80909000
324,72,"Knutepunktinstitusjoner ",3991000
326,72,"Knutepunktinstitusjoner ",2810000
335,72,"Tilskudd til kvalitetsjournalistikk ",6000000
440,72,"Datalagringsdirektivet, kan overføres",220000000
455,72,"Tilskudd til nød- og sikkerhetstjenester ",98671000
470,72,"Tilskudd til spesielle rettshjelptiltak ",31300000
471,72,"Erstatning i anledning av straffeforfølging, overslagsbevilgning",21169000
490,72,"Retur av asylsøkere med avslag og tilbakevending for flyktninger, kan overføres",110618000
552,72,"Nasjonale tiltak for regional utvikling, kan overføres",587300000
601,72,"Tilskudd til Senter for seniorpolitikk m.m. ",14510000
646,72,"Tilskudd, kan overføres",3200000
732,72,"Basisbevilgning Helse Sør-Øst RHF, kan overføres",49942055000
733,72,"Kjøp av opptrening mv., kan overføres",4978000
734,72,"Utviklingsområder innen psykisk helsevern og rus ",16497000
761,72,"Landsbystiftelsen ",70150000
763,72,"Kompetansesentra mv. ",94092000
764,72,"Utviklingstiltak, kan overføres",390615000
821,72,"Statsautorisasjonsordningen for tolker m.m. ",2611000
846,72,"Tiltak for lesbiske og homofile ",10411000
847,72,"Tilskudd ",14490000
854,72,"Tilskudd til forskning og utvikling i barne- vernet ",59955000
900,72,"Tilskudd til beredskapsordninger ",3600000
922,72,"Nasjonale følgemidler, kan overføres",33400000
1023,72,"Tilskudd Nofima, kan overføres",95090000
1050,72,"Tilskudd til sikkerhetsopplæring for fiskere ",14150000
1143,72,"Erstatninger, overslagsbevilgning",302000
1149,72,"Tilskudd til økt bruk av tre, kan overføres",28980000
1151,72,"Tilskudd til organisasjonsarbeid ",6100000
1300,72,"Tilskudd til samferdselsberedskap ",2800000
1301,72,"Tilskudd til miljøvennlig transport, Transnova-prosjektet, kan overføres",69600000
1320,72,"Kjøp av riksvegferjetjenester, kan overføres, kan nyttes under post 23 og post 30",516100000
1410,72,"Tilskudd til GenØk - Senter for biosikkerhet ",13900000
1420,72,"Erstatning for beitedyr tatt av rovvilt, overslagsbevilgning",150755000
1429,72,"Tilskudd til tekniske og industrielle kulturminner, kan overføres",58821000
1534,72,"Samisk språk, informasjon m.m. ",4717000
1540,72,"Det mosaiske trossamfund ",1000000
1632,72,"Tilskudd til private og ideelle virksomheter, overslagsbevilgning",1690000000
1795,72,"Overføringer til andre ",2412000
1800,72,"Tilskudd til olje- og energiformål, kan overføres, kan nyttes under post 21",2000000
1815,72,"Administrasjon, Petoro Iceland AS ",3500000
1820,72,"Tilskudd til flom- og skredforebygging, kan overføres, kan nyttes under postene 22 og 60",2000000
1830,72,"Tilskudd til INTSOK ",16500000
1840,72,"Lån, TCM DA, kan overføres",150000000
2410,72,"Rentestøtte, overslagsbevilgning",960073000
2412,72,"Rentestøtte ",10800000
2421,72,"Forsknings- og utviklingskontrakter, kan overføres",285000000
2530,72,"Feriepenger av foreldrepenger, overslagsbevilgning",440000000
2620,72,"Stønad til barnetilsyn, overslagsbevilgning",390000000
2650,72,"Omsorgs- og pleiepenger ved barns sykdom m.m., overslagsbevilgning",550000000
2651,72,"Legeerklæringer ",345000000
2655,72,"Særtillegg, overslagsbevilgning",2295000000
2670,72,"Ventetillegg, overslagsbevilgning",9000000
2680,72,"Særtillegg, overslagsbevilgning",101000000
2711,72,"Tannbehandling ",2000000000
2751,72,"Medisinsk forbruksmateriell ",1890000000
2755,72,"Jordmorhjelp ",52000000
2756,72,"Helsetjenester til utlandsboende mv. ",140000000
41,73,"Kontingenter, internasjonale delegasjoner ",11400000
151,73,"Regionale tiltak og strategiske partnerskap - Asia, kan overføres",50000000
160,73,"Kultur, kan overføres",109000000
164,73,"Andre ODA-godkjente OSSE-land, kan overføres",335500000
166,73,"Klima- og skogsatsingen, kan overføres",2912500000
170,73,"Verdens matvareprogram (WFP), kan overføres",195000000
225,73,"Tilskudd til studieopphold i utlandet ",10726000
227,73,"Tilskudd til opplæring i Kenya ",1309000
228,73,"Private grunnskoler i utlandet, overslagsbevilgning",111713000
254,73,"Tilskudd til voksenopplæringsorganisasjoner ",12006000
255,73,"Nansen Fredssenter ",5682000
280,73,"Tilskudd til NORDUnet, kan overføres",23905000
281,73,"Tilskudd til internasjonale programmer ",71060000
287,73,"Niels Henrik Abels matematikkpris ",13668000
288,73,"EUs rammeprogram for forskning, kan overføres",1347234000
320,73,"Nasjonale kulturbygg, kan overføres",215000000
321,73,"Kunstnerstipend m.m., kan overføres",164223000
322,73,"Nasjonalmuseet for kunst, arkitektur og design ",279478000
324,73,"Region- og distriktsopera ",52022000
326,73,"Noregs Mållag ",3996000
334,73,"Regional filmsatsing ",56948000
335,73,"Medieforskning og etterutdanning ",17069000
440,73,"Tilskudd til EUs grense- og visumfond ",116644000
471,73,"Stortingets rettferdsvederlagsordning ",60000000
490,73,"Beskyttelse til flyktninger utenfor Norge mv., støttetiltak, kan nyttes under kap. 821 post 60",6977000
719,73,"Fysisk aktivitet, kan overføres",35385000
732,73,"Basisbevilgning Helse Vest RHF, kan overføres",17567979000
761,73,"Særlige omsorgsbehov ",21497000
762,73,"Forebygging uønskede svangerskap og abort, kan overføres",26309000
764,73,"Vold og traumatisk stress, kan overføres",124244000
821,73,"Tilskudd ",4742000
846,73,"Tilskudd til likestillingssentre ",6028000
900,73,"Tilskudd til Ungt Entreprenørskap ",12600000
909,73,"Tilskudd til sysselsetting av sjøfolk, overslags-bevilgning",1700000000
922,73,"EUs romprogrammer ",258500000
934,73,"Støtte ved kapitalvareeksport ",375000000
1143,73,"Tilskudd til erstatninger m.m. ved tiltak mot dyre- og plantesykdommer, overslagsbevilgning",45610000
1149,73,"Tilskudd til skog-, klima- og energitiltak, kan overføres",43470000
1150,73,"Pristilskudd, overslagsbevilgning",2539550000
1410,73,"Infrastrukturtiltak til miljøinstituttene ",9433000
1420,73,"Forebyggende og konfliktdempende tiltak i rovviltforvaltningen, kan overføres",64600000
1429,73,"Tilskudd til bygninger og anlegg fra middelalderen og brannsikring, kan overføres",41997000
1530,73,"Tilskudd til de politiske partiers fylkesorganisasjoner ",72353000
1561,73,"Tilskudd til digital kompetanse ",3182000
