chapterNo,postNo,text,amount
440,1,"Driftsutgifter ",12617275000
442,1,"Driftsutgifter ",560737000
444,1,"Driftsutgifter ",560872000
445,1,"Driftsutgifter ",162990000
446,1,"Driftsutgifter ",7704000
448,1,"Driftsutgifter ",6385000
451,1,"Driftsutgifter ",646783000
452,1,"Driftsutgifter ",14511000
454,1,"Driftsutgifter ",794578000
455,1,"Driftsutgifter ",82025000
456,1,"Driftsutgifter ",490163000
460,1,"Driftsutgifter ",39867000
466,1,"Driftsutgifter ",1087349000
467,1,"Driftsutgifter ",3397000
468,1,"Driftsutgifter ",16110000
469,1,"Driftsutgifter ",175533000
470,1,"Driftsutgifter ",6502000
472,1,"Driftsutgifter ",46392000
473,1,"Driftsutgifter ",42958000
474,1,"Driftsutgifter ",95367000
475,1,"Driftsutgifter ",76097000
490,1,"Driftsutgifter ",793234000
491,1,"Driftsutgifter, kan nyttes under post 21",282437000
500,1,"Driftsutgifter ",164787000
554,1,"Driftsutgifter ",33200000
579,1,"Driftsutgifter ",15800000
585,1,"Driftsutgifter ",23300000
587,1,"Driftsutgifter ",73600000
600,1,"Driftsutgifter ",180370000
605,1,"Driftsutgifter ",10850430000
606,1,"Driftsutgifter ",66100000
611,1,"Driftsutgifter, overslagsbevilgning",18500000
612,1,"Driftsutgifter, overslagsbevilgning",8663000000
613,1,"Driftsutgifter, overslagsbevilgning",1016000000
614,1,"Driftsutgifter ",87000000
615,1,"Driftsutgifter, overslagsbevilgning",83000000
616,1,"Driftsutgifter, overslagsbevilgning",174000000
635,1,"Driftsutgifter, overslagsbevilgning",85000000
640,1,"Driftsutgifter ",510600000
642,1,"Driftsutgifter ",215100000
648,1,"Driftsutgifter ",16600000
700,1,"Driftsutgifter ",206951000
710,1,"Driftsutgifter ",617275000
712,1,"Driftsutgifter ",8847000
713,1,"Driftsutgifter ",22530000
715,1,"Driftsutgifter ",77715000
716,1,"Driftsutgifter ",47075000
720,1,"Driftsutgifter ",1040644000
721,1,"Driftsutgifter ",127255000
722,1,"Driftsutgifter ",164308000
723,1,"Driftsutgifter ",61757000
724,1,"Driftsutgifter ",37692000
725,1,"Driftsutgifter ",182294000
726,1,"Driftsutgifter ",8234000
728,1,"Driftsutgifter ",3244000
729,1,"Driftsutgifter ",59691000
734,1,"Driftsutgifter ",39650000
750,1,"Driftsutgifter ",232186000
800,1,"Driftsutgifter ",161361000
820,1,"Driftsutgifter ",194946000
823,1,"Driftsutgifter ",6749000
842,1,"Driftsutgifter, kan nyttes under post 70",221523000
843,1,"Driftsutgifter ",4807000
850,1,"Driftsutgifter ",13812000
853,1,"Driftsutgifter ",164827000
